Document Number,Invoice Value,Department,Authorization,Conflicting Rules
1819200079,850,Support,Yes,No Conflicting Rules
1819200120,928,Support,Yes,No Conflicting Rules
1819200129,4140,Support,Yes,No Conflicting Rules
1907000522,6300,Support,Yes,No Conflicting Rules
1907000602,96424,Support,Yes,No Conflicting Rules
1919000480,558,Support,Yes,No Conflicting Rules
1919000488,42108,Support,Yes,No Conflicting Rules
1919000518,5509,Support,Yes,No Conflicting Rules
1819100565,264002,Finance,Yes,No Conflicting Rules
1819100694,2616,Finance,Yes,No Conflicting Rules
1819100811,10765,Finance,Yes,No Conflicting Rules
1819100845,4200,Finance,Yes,No Conflicting Rules
1819100859,73713,Finance,Yes,No Conflicting Rules
1819200057,780,Finance,Yes,No Conflicting Rules
1819200117,53662,Finance,Yes,No Conflicting Rules
1919000446,10266,Finance,Yes,No Conflicting Rules
1919000465,12390,Finance,Yes,No Conflicting Rules
1919000532,6750,Finance,Yes,No Conflicting Rules
1924000113,4556,Finance,Yes,No Conflicting Rules
1927000311,2160,Finance,Yes,No Conflicting Rules
1819100567,262870,Warehouse,Yes,No Conflicting Rules
1819100626,5900,Warehouse,Yes,No Conflicting Rules
1819100639,4990,Warehouse,Yes,No Conflicting Rules
1819100672,1512,Warehouse,Yes,No Conflicting Rules
1819100687,1200,Warehouse,Yes,No Conflicting Rules
1819100710,33012,Warehouse,Yes,No Conflicting Rules
1819100718,45784,Warehouse,Yes,No Conflicting Rules
1819100763,25001,Warehouse,Yes,No Conflicting Rules
1819100853,7587,Warehouse,Yes,No Conflicting Rules
1819100937,23010,Warehouse,Yes,No Conflicting Rules
1819200126,7200,Warehouse,Yes,No Conflicting Rules
1819200134,18036,Warehouse,Yes,No Conflicting Rules
1905000310,1859,Warehouse,Yes,No Conflicting Rules
1907000527,805350,Warehouse,Yes,No Conflicting Rules
1907000536,440748,Warehouse,Yes,No Conflicting Rules
1907000543,236250,Warehouse,Yes,No Conflicting Rules
1907000610,70875,Warehouse,Yes,No Conflicting Rules
